,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
,Hebei,Mainland China,1/29/2020 21:00,65,1,0
,Shaanxi,Mainland China,1/29/2020 21:00,56,0,0
,Yunnan,Mainland China,1/29/2020 21:00,55,0,0
,Hainan,Mainland China,1/29/2020 21:00,43,1,0
,Heilongjiang,Mainland China,1/29/2020 21:00,43,1,0
,Liaoning,Mainland China,1/29/2020 21:00,39,0,1
,Shanxi,Mainland China,1/29/2020 21:00,35,0,1
,Tianjin,Mainland China,1/29/2020 21:00,27,0,0
,Gansu,Mainland China,1/29/2020 21:00,26,0,0
,Inner Mongolia,Mainland China,1/29/2020 21:00,16,0,0
,Jilin,Mainland China,1/29/2020 21:00,14,0,1
,Xinjiang,Mainland China,1/29/2020 21:00,14,0,0
,Guizhou,Mainland China,1/29/2020 21:00,12,0,1
,Ningxia,Mainland China,1/29/2020 21:00,12,0,0
,Hong Kong,Hong Kong,1/29/2020 21:00,10,0,0
,Taiwan,Taiwan,1/29/2020 21:00,8,0,0
,,,,,,
,Qinghai,Mainland China,1/29/2020 21:00,6,0,0
,Tibet,Mainland China,1/29/2020 21:00,1,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Hubei,Mainland China,1/30/2020 21:30,5806,204,116
,Zhejiang,Mainland China,1/30/2020 21:30,537,0,9
,Guangdong,Mainland China,1/30/2020 21:30,393,0,11
,Henan,Mainland China,1/30/2020 21:30,352,2,3
,Hunan,Mainland China,1/30/2020 21:30,332,0,2
,Jiangxi,Mainland China,1/30/2020 21:30,240,0,7
,Anhui,Mainland China,1/30/2020 21:30,237,0,3
,Chongqing,Mainland China,1/30/2020 21:30,206,0,1
,Shandong,Mainland China,1/30/2020 21:30,178,0,2
,Sichuan,Mainland China,1/30/2020 21:30,177,1,1
,Jiangsu,Mainland China,1/30/2020 21:30,168,0,2
,Shanghai,Mainland China,1/30/2020 21:30,128,1,9
,Beijing,Mainland China,1/30/2020 21:30,121,1,5
,Fujian,Mainland China,1/30/2020 21:30,101,0,0
,Guangxi,Mainland China,1/30/2020 21:30,87,0,2
,Hebei,Mainland China,1/30/2020 21:30,82,1,0
,Yunnan,Mainland China,1/30/2020 21:30,76,0,0
,Shaanxi,Mainland China,1/30/2020 21:30,87,0,0
,Heilongjiang,Mainland China,1/30/2020 21:30,59,2,0
,Hainan,Mainland China,1/30/2020 21:30,50,1,1
,Liaoning,Mainland China,1/30/2020 21:30,45,0,1
,Shanxi,Mainland China,1/30/2020 21:30,39,0,1
,Tianjin,Mainland China,1/30/2020 21:30,32,0,0
,Gansu,Mainland China,1/30/2020 21:30,29,0,0
,Ningxia,Mainland China,1/30/2020 21:30,21,0,1
,Inner Mongolia,Mainland China,1/30/2020 21:30,20,0,0
,Xinjiang,Mainland China,1/30/2020 21:30,17,0,0
,Guizhou,Mainland China,1/30/2020 21:30,15,0,1
,Jilin,Mainland China,1/30/2020 21:30,14,0,1
